category,sub-category,crimeaditionalinfo
Online Financial Fraud,UPI Related Frauds,"Impersonation  Cheating
victim received whatsapp message from her cousin whatsapp number to send amount so victim believed that it was his cousin and sent amount and got cheated after that there is no response from fraudster and victim called to "
Online Financial Fraud,UPI Related Frauds,"ONLINE FRAUD
Complaint Brief Description 	An online site "
Online Financial Fraud,DematDepository Fraud,"Dear sir
I am Rejaul Sardar
This company
Delta trade
Froud me my found not return
Sir kindly action this company
And return my found in my bank account
Bank nameSBI
Account holder nameRejaul Sardar
Account number
IFS codeSBIN"
Any Other Cyber Crime,Other,ONE PLUS RT PHONE STOLEN FROM IFFCO CHOWK BUS STAND CONTAINING IMEI NO  WITH AIRTEL SIM  AND VODAFONE  WITH GB RAM AND GB INTERNAL STOARAGE NANO SILVER COLOUR PHONE
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH   UPI Fraud PHONE PE 
BANK  State Bank of India	 
 ACCOUNT  NUMBER   	 		 
TOTAL AMOUNT   	 		 	 		 	 		
 PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY 
"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,On my mobile I received call saying they are calling from Citibank and wanted me to redeem my credit card points to reduce my outstanding bill amount  In this process they took my card details and instead of crediting my account by redeeming my points they debited my credit card account with Rs after which I got alerted and discontinued my conversation and immediately informed Citibank about the fraud and asked them to block my card too   Citibank has raised dispute resolution for these three transaction vide Complaints Nos I   
Any Other Cyber Crime,Other,By calling  on the pretext of a job he absconded with all my documents including Aadhar card PAN card ATM card mobile and necessary documents and he took my atm    now call him picks up the phone but he disconnects the call by abusing and he pretends to be a Supreme Court lawyer and uses abuse whenever he calls
Online Financial Fraud,UPI Related Frauds,"Online Frauds   Advertisement Portal Fraud  eCommerce platform  Any Other
 Victim saw about the rents in google and contacted them and paid the initial amount for seeing the houses for rent and later found that it is fraud"
Online Gambling  Betting,Online Gambling  Betting,His name is Arslan Rich in Telegram He told me u may invest k you will get k To k within  hours I didnt belive him but he asked me to invest many times after that i paid  and after he send me a screenshot you won  Then he ask me money for withdrawl comisson Rs  But i paid  he told me u paid wrong amount this amount will be added in u amount so please pay exact amount which is showing next i paid  After payment he asked to pay more amount for withdraw amount from Citi Bank the amount not withdrwing because need to pay VAT Amount
Any Other Cyber Crime,Other,He send ne payment two time on my upi id  and  decmember his upi id is paytm please track them he hold my  in my hdfc bank my upi id is bedisharanibl and my customer id is  please help me fast otherrwise my paymnt refund in his account
Any Other Cyber Crime,Other,Took loan from online loan app credit bus today morning they did mgs for repayment and they forced me to pay from the link they sended me after making payment they again doing mgs with abuse language for make payment saying your payment didnt received I sended all the screenshot of the payment but they are blackmailing me by hacking my phone sending abuse mgs to my contact numbers
Online and Social Media Related Crime,Profile Hacking Identity Theft,"I just used my instagram And suddenly i got hacked by someone and then unable to login my account
please check and help to resolve issue ASAP 
all my personal data in this instagram and facebook account"
Any Other Cyber Crime,Other,Some of instant loan app hacked my contact list gallery and my whatsapp account and they writing abusing about my mom and about my sister and calling on my contact list and abusing and sharing my picture wit writing wrong on it sahring on whatsapp wit my friend and family please help me out with this type of situation i need help from all this chinese loan application please rich cash and fast cash lend mall
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  GOOGLE PAY 

 BANK   HDFC Bank	
ACCOUNT NUMBER  
TOTAL AMOUNT  
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION 

dear sirmaam  they had created ambiguity because they had gathered my family information and done this fraud to me after that they had tried again through this number this my humble request to you please resolve my problem "
Online Financial Fraud,DematDepository Fraud,iam dharavath ramesh ihave received one whatapp up link though  iam open the link and join the elza enargey company member says invest the amount we given returns  double amount iam invest  rupees sent to by phone pay and debit card and credit card
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,I GOT A CALL FROM A UNKNOWN FRAUD PERSON HE INTRODUCE HIMSELF AS CCE OF SBI CREDIT CARD DEPARTMENT THANE MUMBAI  HE TELL ME ABOUT INCREASING THE LIMIT OF CREDIT CARD AND REGARDING THE REDEMPTION OF REWARD POINT THEN HE SAY TO SEND A MESSAGE ECOMD AND LAST FOUR DIGIT OF MY CREDIT CARD AND SEND TO   THE NUMBER OF CALLER IS  IT IS SWITCHED OF RIGHT NOW 
Any Other Cyber Crime,Other,"Sir I cleared all the amount that was dueBut now they were showing like that I havenot paid  balance and now it about they are asking  to pay
In detail I took some loan amount from Redcarpet and also cleared all the dues in april When I cleared the dues the outstanding amount was  But suddenly after  months I have started getting messages from Redcarpet saying that you are having some dues on the applicationWhen I checked in the application it was showing that I have paid rs  less from the total payment and made  by adding interest every month  They started torturing me and abusing me for not paying that payments They also get in access with my contacts and all private data They are sending my personal data and payment details to other contacts They are even warned me about that they will send them mcy details to all my contacts One person with the number   had called me and started abusing in very offensive languagePlease help me out from this situation I am a common man from middle classI need help from youPlease try to understand my problem and help me out from this situation

Thank you"
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,I got a massage from this person and he  is torchuring me that he is going to publish my contect data they did exacly before some day ago and again they were asking money for not publishing my contect
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,The hacker has utilised my credit card of IndusInd Bank to pay amount on No Broker merchant I assure you i have neither shared my credit card details nor any OTP in respect of such transaction Also as when i got to know about transaction  i got my card blocked attaching the screenshot for evidence tooPlease help me recover my amount
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  UPI Fraud PhonePE 		 
BANK  INDIAN BANK
ACCOUNT NUMBER  
TOTAL AMOUNT  	
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT 
ACCOUNT AND TAKE NECESSARY ACTION"
Online Financial Fraud,Fraud CallVishing,TOTAL RS  were debited from my account in two transactions of  each The fraud person contacted me on  disguised as a SBI employee and asked me to complete my KYC in order keep my account active
Any Other Cyber Crime,Other,"Fraud made by Indaan E commerce online company by luring the people saying join as distributor and purchase their goods with good marginal rate but after making payments no response received from the Indaan company and payment has not been returned and the main Director of that company Murugesan Sugumaran alias Vijay director with INDAAN E COMMERCE PRIVATE LIMITED having DIN  not responding to emails Mgrid Trading PO Value    five lakhs two thousand eight hundred and Sixty eight Rupees only 
We submit that Mr Ameer basha from Indaan E commerce private limited  Zonel sales manager who is the in charge of Telangana and Andhra Pradesh states for resource recruitment and Distributor allotments he  approached us  Mgrid Trading and Sri Veerabhadra  Co on  December   and offered us to join as distributor for few locations in Hyderabad  for the  Indaan E commerce  private limited company products through which we buy the products and sell it to the wholesalers  Retailers 
 Based on the discussion happened in between Ameer Basha and us we have initiated the transactions through online IMPS and NEFT transfer as below
Mgrid Trading paid   Five lakhs  on with reference number  from Mgrid Trading HDFC current account to Indaan Ecommerce private limited account number  with IFSC code ICIC 
Mgrid Trading paid   Two thousand eight sixty eight  with reference number N through NEFT"
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,Fb varun number bhetla na olakh zali na video call kela tr pay karv lagel  Rs mahun me pay kela natr aajun  pay kar teva video call Karl me nahi kela mg tine ak nud pohto patvla na boli video call vr bolaych asel tr pay kar Rs me nahi kela mg tine  tasa natr video call kela to fakt  sencd hota na lagech cut kela mala boli pay kar me nahi kela mg tine sakali msg kela pay kar me nahi kela tr mala bolo me tuza video call rocod kela aahe to mala patvla na boli pise nahi dile tr me youtube vr takle me bolo tula kay karych aahe te kar natr  tasni mala youtube manger cha call aala me tyala khup shivya ghatyla natr  tasni dusra cal aala to boltoy ka me cyber crime madhun boltoy me tyala pan shivya dilya na tyani cal cut kela natr punha mala  minita cal aala ka ky karu video dalu kay youtube par ky pise deta he kay nahi me tyala pan khup shivya ghatyla na tyani cal cut kela na mala aajun cal na msg tr nahi aala pan tyani jo video banavla aahe to tyani kute sher  kela tr khup porblm hoel so plz help me sir taya lavkr lavkr pakda na saja dya
Any Other Cyber Crime,Other,Please help me sir mene dhani m loan liya ta or pura payment kar Mere ko Limit increase  dika rha ta But payment ho gya lekin abi tak limit increase nhi hui or pese bi cut gye  Jab mene customer care se bat ki to customer care koi justify reply nhi de rha h Mene mail bi send ki  bar but customer care bol rha h ki hamre pass to kal ki koi mail nhi aayi Hui h   ka offer deke kuch nhi diya or pese bi repayment karva liya 
Online Financial Fraud,UPI Related Frauds,"Received job offer on the name of well known consultancy but going initially demanded small amount and later on it converted into big amount but as per the SOP of consultancy they didnt charge any amount for offering job so found it fraud and when asked for return amount they denied and again asking for more amount to cancel that
  caller no
 
"
Online Financial Fraud,Fraud CallVishing,"I got one message on WhatsApp stating that I got a lottery and acting as a SBI manager and their banner is using prime minister photo 
I am seeing the same message to my relatives also with same details and banner

It seems they are trying to do fraud "
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,"we got this images from an unknown number  and  making us threat calls as well some voice notes when we didnt responded their call 
he also stated that if we didnt pay the loan amount of pankaj whom we didnt know who is he they will circulate these images over social media platforms and over other contacts kindly look into the matter"
Online Financial Fraud,UPI Related Frauds,"Dear sir
        Please stop the fraudulent transaction and refund the amount  in source account
 Regards 
"
Online Financial Fraud,Internet Banking Related Fraud,"Identity theft   Skimming  Cloning of Cards etc  Merchant PlaceATM center
Victim shared not shared any OTPs or not clicked on any links but amount got debited from his account without his involvement  Equitas debit card no "
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGHUPI Fraud	phone pe
 
BANKPunjab National Bank including Oriental Bank of Commerce and United Bank of India	

ACCOUNT NO 	 				

TOTAL AMOUNT				 		 					
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Online and Social Media Related Crime,Profile Hacking Identity Theft,                                                           Ravi Kant Yadav                                                             
Any Other Cyber Crime,Other,"Dear MadamSir  Myself and my family members are getting threatening calls from the unknown peoples from the below mentioned phone numbers

We have not taken any money or loan from these peoples And they are mentioning their name as MsSoundarya and MrSurya

I am requesting kindly stop this phone calls harassment from these peoples
The phone numbers are             

Please kindly help us to stop this phone calls harassment 

Yours faithfully

Deepa Rangasamy

"
Online Financial Fraud,UPI Related Frauds,       online Indiamart me Goat sell  information                  phonepay              eccept     account  rupe debit  
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"Dear team  Myself  deepak mehta holding a credit card from HDFC BANK  THERE IS UNAUTHORIZED transaction with my credit  card on jan amount of  rs on discovery liquor time  pm today    While all liquor shop should closed on   jan  then how  my card is swaped from discovery liquor  shop  
Kindly help in taking a refund  i also need to file a complaint  againts discovery liquor shop on gazetted holiday how they open the shop"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH UPI ERON PAY
BANK AXIS BANK
ACCOUNT NUMBER  
TOTAL AMOUNT 
PLEASE HOLD  REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION 
"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH PHONE PAY  		 
BANK   BANK OF BARODA 
ACCOUNT NUMBER  
TOTAL AMOUNT 
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION

"
Online Financial Fraud,Fraud CallVishing,I never applied any loan with Rupee star and they are calling and asking to pay they hacked my contactspan and addhar and sending messages to my contact list receiving threat call from Please help me this APP people haraselike any thing Kindly help me from Rupee Star app
Online Financial Fraud,Internet Banking Related Fraud,"Name  Arvind Kumar Pargi  Address gavgatar  teh arthuna  Dist banswara   PS  arthuna PinCode  EmailId paridhigmailcom   Citizen Mobile No     Bank Name SBI BANK  BOB BANK  Account no SBI BANK  BOB BANK   IFSC CODE SBINSBI BANK  BARBJAULANBOB BANK  Total Froud Amount rs  Date  JAN 

Froud By team view application download karva kar paise transfer karvaye PAID BY BANK ACCOUNT

Transaction DetailsSBI BANKsuchnkarta ke pass transaction id nhi hai
Time pm  Amount rs
Time pm  Amount rs

Transaction DetailsBOB BANK
Transaction ID   Time pm  Amount rs
Transaction ID   Time pm  Amount rs
Transaction ID   Time pm  Amount rs

Total Froud Amount rs  Date  JAN 

Froders Details
Contact No "
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,Firstly talk on call and then I am going excited and loose control over my feelings and then when I reached near hotel and he asked for payment for second time I paid it and last  payment is done in the pressure of blackmailing me and I lost 
Online Financial Fraud,Internet Banking Related Fraud,"Hello Sir 

I received an SMS from mobile number  SMS reads  Dear
Customer your SBI BANK account KYC has been expired please update your account verification link click here to httpsbi thank you 

Once I click on the given URL it requested for user id and password and then sent a verification code on my mobile number finally I noticed that money is debited I registered a complaint with SBI Bank reference number  I have blocked my banking with SBI now 

Please help me sir"
Online and Social Media Related Crime,FakeImpersonating Profile,"Fake Facebook Account
Some unknown person has created a fake id on facebook with my name and pic Through that fake id money has demanded from my friends and relatives
Phone pay no is 
Banking Name Bheru Lal Meena"
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,I got a whatsapp message today in which i got a naked offensive pic of a random girl with a vulgar text which made me mentally torchored I want to make it in acknowledge of department for further use 
Hacking  Damage to computercomputer system etc,Email Hacking,"My Instagram Account
Username authorgfireword 
Account Name Greatel Fireword
got hacked on rd January  at  PM IST by the device Infinix XC Instagram Cheyenne WY United States on January  at  AM PDT My email address greatelkgmailcom phone number   and password which was associated with
my account has been changed by the hacker rendering me unable to access my account in any way Hence I am not able to
recover my account I have requested Instagram Team for help but have not yet received any official mail from the Team I do not want my account to be misused Please mark this issue in your records"
Online Financial Fraud,Internet Banking Related Fraud,"FRAUD THROUGH 	 INTERNET BANKING
BANK   STATE BANK OF INDIA 
ACCOUNT NUMBER    
TOTAL AMOUNT  	
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION 
"
Sexually Explicit Act,Sexually Explicit Act,"In CLUBHOUSE App online prostitution and sexual harassmentabuse and child pornography has been shared in clubhouse I have attached sample clubhouse room names and user ids Once they start a room others will join the chat in which all speak sexually and share the price and do online prostitution for which youn school and college students are getting into this trap Once new strange joins the chat they asking them to make a payment via upi id and then they asking to pay more then finally they block the number and they get away with the paid amount Online scam  romance fraud also happening Recently in mumbai  people has been arrested for same scenario Now in chennai and all over tamil nadu its happening I wil share the sample room chat link in which they speak sexual obscene content and they doing prostitution via online live in instagram or in clubhouse Kindly hear the audios in the chat room Some chats has been saved automatically in clubhouse

Link httpswwwclubhousecomroomxVXYjKDutmmediumchroommcutmcampaignSthlaFrhCojXTPYnIg

httpswwwclubhousecomroomPDvDbBRutmmediumchroomxrutmcampaignSthlaFrhCojXTPYnIg

httpswwwclubhousecomroommgqGlbutmmediumchroomxercutmcampaignSthlaFrhCojXTPYnIg


httpswwwclubhousecomroomPbyqdZButmmediumchroomxrutmcampaignSthlaFrhCojXTPYnIg"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,This person has taken the booking amount of  for distribution of eggs now he has switched off his phone and his number was provided by indiamart  and the vendor also provided me the receipt but I think the receipt he provided to me is scam
RapeGang Rape RGRSexually Abusive Content,RapeGang Rape RGRSexually Abusive Content,Some hacker himself said that he isfrom named Malik from Andhra Pradesh sending me abusive messages in Instagram He is unknown to me When i blocked him he from another account started sending abusive messages with a profile picture of a hacked girl Please solve my problem immediately  due to this many girls might be affected
Online and Social Media Related Crime,Online Matrimonial Fraud,Some one girle is calling me video call she is saved my private video and she is  blackmailed me give me money other wise i upload u r video in social  media facebook  Instagram is blackmailed me please take action  help me sir
Sexually Obscene material,Sexually Obscene material,"Dear sirmadam 
Ye meri sister hai aur koi individual person blackmail kar rha h Facebook Id bna ke mera aur mere friend ke naam se sir aapse nivedan karta hu ki isko pkd ke kadi se kadi saja di jaye
            Thanking you
"
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting, Feb  at around  pm it I had contacted the user RupaSinghNew for a call Due to some multiple unsuccessful calls in which they had without my knowledge recorded the calls in which my face had come up the user threatened me by using a morphed video to be circulated in the Youtube and Facebook To stop this from happening I was asked to pay  then  then   Feb   then again  then  and then  I was told that the issue has been resolved Post this I had deleted my WhatsApp  On  Feb  I received a call on my number by a  CBI officer of the name Remesh Chand SI who said that a case has been registered against me on blackmailing and defamation and if I need to remove my name I should contact the Youtube department and provided the number and get an approval from them On contacting the Youtube department I was asked to pay initially  then  and then  of which I had only paid  After this I had requested them that the additional money I need to arrange and will pay on the next day I was also contacted by the callers from  Feb for an additional payment of  not paid for removing the WhatsApp Chats and resetting the  Laptop    Feb  CBI officer YouTube department tried contacting me multiple times I have switched off my SIM card  and deleted the WhatsApp after this
Sexually Explicit Act,Sexually Explicit Act,"Sir my channel name is sumit stock magic 

They use my name and create  fake Id of Instagram 
Otherwise my real account name was k followers 
But they use my name nd scam many peoples

So pls sir remove this fake account vastly

Humble request to u Im student and hlp others but they use my name so its bad"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"At the time of the incident I was checking my email and messages in my mobile when I noticed this SMS from ICICI showing debit of  from my account I immediately contacted the ICICI Customer Care and got my account and debit card blocked 
I also wrote to the Noida Police Cyber Cell and Commissioner about the incident along with the Office of Uttar Pradesh CM and Finance Minister of India"
Online Financial Fraud,UPI Related Frauds,Financial Fraud
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH PHONE PAY  		 
BANK   STATE BANK OF INDIA 
ACCOUNT NUMBER  
TOTAL AMOUNT 
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION

"
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,I got a call from this no  and they took some nude video of mine and started sending it to all of my facebook messenger friend and they said if i am not giving  rupees then they will circulate all over the Facebook so out of fear i paid  then after that they have again started blackmailing me and took another  and then again  and now still they are asking for another  i have stopped paying and now they are saying they will circulate to everyone by today morning  am Please take action asap otherwise that video they will circulate everywhere This is their phone pe no  where they have taken the total payment of  And they were communicating through watsapp also the no Is 
Online Cyber Trafficking,Online Trafficking, this number frauder call me I had ordered on amazon in which my money was deducted but the order was not completed when I called Amazon customer care they did not get the call after that I got a call he said that I am talking to Amazon customer care and  He got me a process done through debit card and he deducted my money pls help me sir
Online Financial Fraud,UPI Related Frauds,mere pass  se fone aaya vola ki mai tumhare khate m pese dal rha hu fir usne google pay khilne ke bola or bola ki pese cheak karo usne  rupye bheje fir eske bad  hajar or  hajar rupye khate se kat gye
Online Financial Fraud,UPI Related Frauds,"At home sudden call received and later msg received twice about amount debited of rs  and  dated  feb 
Fraud happened no otp was taken on call and  amount debited with msg received about details"
Sexually Explicit Act,Sexually Explicit Act,They making too much of Tarchal called from different numbers talking too much of  vulgar  they started to message my family member and sending photo they messaging me like i fuck u i sex u etc more taking torchaling
Online Financial Fraud,UPI Related Frauds,"FINANCAIL FRAUD 
"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH UPI FRAUD PHONE PAY
BANK STATE BANKOF INDIA 	
ACCOUNT NUMBER   
TOTAL AMOUNT 
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION
"
Online Financial Fraud,Internet Banking Related Fraud,"citizen detail
namehanuman dahiwal    soishri lal
addvillage rasolpoora  govschool ke pass 
pin code
psalwar gate
distajmer
mob no
account link no 
fraud by ATM card

branchSBI             acc no          ifsc codeSBIN        date      total amount

trans id                         amount     timeam

frauder no

suchna karta ne batya ki bank wala banke jaankari li or fraud ho gya


"
Online Gambling  Betting,Online Gambling  Betting,"Mr Rubal Pandey from Upgrad called me for good Data science course He told that if I do not want to continue I could drop off anytime There will be nominal processing charges I have to pay After his confirmation I trusted him and he ask me to complete the admission process in one day as there is no seats
He ask me to share the screen in google meet and he ask to tick few questions answers he was telling the answers for my help I trusted and then he told there was scholarship you got After complete trust he ask me to complete admission process He ask me to share all my documents on the link I shared my pan cad on his whats app

I noticed on my email about Zestmoney that he applied a loan against me I immediately called and text what app message that I do not want any loan He told it is normal admission process

Then when in my ICICI bank there was two deduction transitions  and  and refund k transaction on th Jan I immediately called Rubal but he did not pickup I send email for the stop all my admission and any program process emi I do not get any answers from him I emailed to supportstudentupgradcom  they connected and told that now nothing will happen they will not do anything Whatever you want to do do it Then I communicated with ZestMoney on customer care and email they told they cannot do anything from there end They suggested that raise a cybercrime fir"
Online and Social Media Related Crime,Cheating by Impersonation,She is black mail me and demand to mony ahe record my video call  and i block her on facebook i give her my call number Also hi record my video on face bol and black mail me and ask for my she is tell me i viral your video
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH UPI Fraud	 GOOGLE PE
 
BANKBank of India		

ACCOUNT NO	 	 	
								 									
TOTAL AMOUNT																											
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION

"
Child Pornography CPChild Sexual Abuse Material CSAM,Child Pornography CPChild Sexual Abuse Material CSAM,He was continuously video calling me on my WhatsApp and sending explicit content and texts i was very scared of this i blocked this number but he was continuously changing the number and calling again and again i dont know what to do i was hell scared of this and once i picked up the call but he muted it from his side and he got that i was a girl and then started mis behaving on the chat please I cant explain more Im really scared please help Im literally in depression now
Any Other Cyber Crime,Other,"I Abhishek Bharti became victim of cyber fraud and Lost INR  I received message from number  on whatsapp the person stated to provide job regarding which he took money and then absconded kindly please help me I paid the money from G pay and account details of the offender are provided below 

Account number 

Ifsc code SBIN

Holder Name Bimal Chourasia"
Online Financial Fraud,UPI Related Frauds,Wrong payment to mobikwikI received a fake cashback from Googlethen I done my transactionplease return my money backI have lost  rupees of my moneyI entered my upi pin without knowing anythingso please I request you to pay my money backthats  why I raise my complaint against that fake websites and mobikwik
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"I SEARCH SILCE CUSTOMER CARE NUMBER FROM GOOGLE AND CALL US WHICH CONTACT NUMBER  HE SEND A LINK AND HE SAID PLEASE CLICK  AFTER CLICK LINK  TRANSACTION DONE FROM MY CARD AND TOTEL SPENDING   
PLEASE LOOK INTO THIS MATTER"
Online and Social Media Related Crime,Cheating by Impersonation,Please accept my request and take a charge on lieersplease return my moneytotal amount is  Please return my money 
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  UPI PHONE PE 

BANK    Union Bank of India
ACCOUNT NUMBER   
TOTAL AMOUNT 

PLEASE HOLD REVERSE TOTAL AMOUNT IN THE 
COMPLAINT  ACCOUNT AND TAKE NECESSARY ACTION"
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,WhatsApp                     you tube        please help me               please  you tube      
Online and Social Media Related Crime,Cheating by Impersonation,"someone took photos from my facebook account and using them as whatsapp profile pic asking money from my friends   these are the the numbers the fraud is using to ask money from my friends I have attached the screenshots of whatsapp chat of my friends 
httpswwwfacebookcommanojburdak
this is the link to my facebook profile from where the fraud took photos 
  these are numbers of my friends from whom he is asking for money the fraud is targetting my friends from IIT Kanpur"
Online Financial Fraud,Internet Banking Related Fraud,The victim got a message from an unknown number that his YONO will be blocked  The victim believed in the message and opened the link after which lost an amount of Rs  Please take necessary action in this regards 
Online Financial Fraud,Fraud CallVishing,my name is sumit awasthi contact  A person called my father Rajendra prasad awasthi contact  as he told his name to my father was Ajay kumar mishra contact  he told to my father that an amount of two lakhs fifty thousand has been sanctioned form PM awas yojna for home and after that my father immediatly called me and told me to talk to him for further details when i talked to him he repeated the same story and said he is calling form vikas bhavan lucknow when i asked him to meet him in his office he denied immediatly and told me that he will talk to his senior officer and for further process i have to make a payment and exactly after  min his senior called me and narrated the same story and asked me to pay  online via google pay and i again asked to come to office to meet him personally he tried to avoid but when i asked to come tomorrow he said that he will be absent tomorrow  and cut the call after then they called my father a talked to him in very abusive language My father called me and told that what they were saying i told him to clearly deny them that we dont want money at all PLEASE take strict action against such people THANK YOU
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,my name is rizwan feroziam marriedtoday some body snd very bad messag to my wife hiba rizwan there are more scrren shot which i will show uplz helpye lrka mri wife ko gande msg kr rha hai aur use dhmki de rha haimere pas aur bhi scren shot hai
Online Financial Fraud,UPI Related Frauds,caller info that KYC updated OTP  through the 
Online Financial Fraud,UPI Related Frauds,UPI FRAUD 
Cyber Attack/ Dependent Crimes,Data Breach/Theft,"I never imagined something like this could happen to me, especially since I'm so cautious. But then I started noticing that my online activity felt different, slower even. I can't even describe it well because everything seemed normal, except for the fact that I was constantly getting logged out of my accounts. I don't know how, but it’s like they knew everything I was doing, even though I was trying to be careful. It’s terrifying to think about. The more I tried to fix it, the more problems came up. My bank account was suspecious, and then I got locked out of everything. I feel so helpless, like there’s nothing I can do to fix this. No matter how many times I change my password, it’s like someone’s always one step ahead. Even my phone isn’t working right anymore. It’s so stange how everything just fell apart after that one email."
Online Financial Fraud,UPI Related Frauds,caller infomed that in online game koko lost the amount  so they need police help
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  UPI PHONE PE
BANK  Union Bank of India including Andhra Bank and Corporation Bank		
ACCOUNT NUMBER 
TOTAL AMOUNT  
PLEASE HOLD  REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"Name Ritesh kumar jain
Email id  riteshjakhgmailcom
district jaipur
psbagru
pin code 
mob no 
Alternate no 
credit card no   sbi 
Total amount 
Date  time   pm
Frauder ke no  
suchna karta ne batya ke khud ko sbi bank se bta kar otp share  kar fraud kar liya "
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH UPI FRAUD  PAYTM
BANK NAME 	ICICI BANK 
ACCOUNT NUMBER 
TOTAL AMOUNT   
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Online Financial Fraud,Fraud CallVishing,     keypad                                               whatsaap                                whatsaap                   whatsaap          attached                       whatsapp                  whatsaap 
Cyber Attack/ Dependent Crimes,Data Breach/Theft,"This all happened a few days after I accidentally clicked on a strange link on social media. I didn’t think much of it until things started going wrong. The next thing I knew, people were calling me asking if I had sent them strange messages, and I hadn’t touched my phone all day. Honestly, it’s such a mess, and I don’t even know where to start. I’ve contacted support, but they keep giving me the runaround. The more I tried to fix it, the more problems came up. My bank account was hackd, and then I got locked out of everything. This has really left me anxious and frustrated, I can’t sleep knowing my information is out there. I’ve even considered deleting all my accounts, but that’s not a solution. Even my laptop isn’t working right anymore. It’s so stange how everything just fell apart after that one email."
Online Financial Fraud,EWallet Related Fraud,"Citizen Details
Name jitendra singh  Addressgavnimod  teh didwana  Dist nagour  PS molasar  PinCode   EmailId  jsmoondgmailcom  Citizen Phone Pe No   Citizen Mobile No   Bank Name SBI BANK    Account no JITENDRA SINGH  NARENDRA KUMAR IFSC CODE SBIN   Total Froud Amount  rs  Date  JAN 

Froud By jaankar bankar baat ki or paise transfer "
Online Gambling  Betting,Online Gambling  Betting,He called me that saying about debit card tracking and He took my aadhar card pan card selfie and few otps after giving all the information he switched off the phone his number is  please help me
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,Rohit Gupta  and his wife Yagya Saxena have been bullying harassing and intimidating me and my family on Facebook He is calling me and my entire family thief whereas me and my family has nothing to do with him or his allegations of theft He and his wife have been uploading videos and making comments on Facebook only with the intention to extort money from me and my family Raghav Khaneja is my son whose FACEBOOK URL has been shared
